antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'支付方式_云闪付'}),frozenset({'类别_家居'}),0.14256406869403174,0.10276609575846017,0.014651297390917759,0.10276991618668019,1.0000371759595597,1.0,5.446557911990141e-07,1.000004258025103,4.335551637357226e-05,0.06351382585474095,4.258006972268989e-06,0.12266964241838217
frozenset({'支付方式_云闪付'}),frozenset({'类别_服装'}),0.14256406869403174,0.19943618865509333,0.028445225042644816,0.19952590651500984,1.0004498574733178,1.0,1.2790543144219207e-05,1.0001120809038628,0.0005244184155941933,0.090718445286636,0.00011206834314155991,0.1710770543603851
frozenset({'支付方式_云闪付'}),frozenset({'类别_电子产品'}),0.14256406869403174,0.19818988568476217,0.028254140771426187,0.19818556688407007,0.9999782087734842,1.0,-6.157057985435588e-07,0.9999946137154513,-2.54143158303556e-05,0.09041330439615995,-5.386313561019937e-06,0.17037326446609394
frozenset({'支付方式_云闪付'}),frozenset({'类别_食品'}),0.14256406869403174,0.19820981605793075,0.02822199031543889,0.19796005104209238,0.9987398958295518,1.0,-3.560751687534461e-05,0.999688587811414,-0.0014693111977131272,0.09029537436117033,-0.00031150919634658094,0.17017223707930335
frozenset({'支付方式_信用卡'}),frozenset({'类别_家居'}),0.1429296528383579,0.10276609575846017,0.014722581207360185,0.10300578581835819,1.0023323846072871,1.0,3.425881705002888e-05,1.0002672147223566,0.0027150131324997005,0.0637415218995354,0.0002671433377237739,0.12313440278946058
frozenset({'支付方式_信用卡'}),frozenset({'类别_服装'}),0.1429296528383579,0.19943618865509333,0.02850239757297517,0.1994155656783769,0.9998965936079329,1.0,-2.9476349025711612e-06,0.9999742400978182,-0.00012064891667037632,0.09081145996791157,-2.5760565771493366e-05,0.1711652193385077
frozenset({'支付方式_信用卡'}),frozenset({'类别_电子产品'}),0.1429296528383579,0.19818988568476217,0.028293783301998762,0.1979560066097466,0.9988199242650174,1.0,-3.342825499813226e-05,0.9997083962015263,-0.0013766005913935665,0.09044582432798497,-0.0002916888560520429,0.17035849581649024
frozenset({'支付方式_信用卡'}),frozenset({'类别_食品'}),0.1429296528383579,0.19820981605793075,0.028278726414240004,0.19785066186525338,0.9981880100601456,1.0,-5.133378407481612e-05,0.9995522601894647,-0.0021135284510352534,0.09038758327393084,-0.0004479403712721482,0.17026066380528065
frozenset({'支付方式_储蓄卡'}),frozenset({'类别_家居'}),0.14269245230221633,0.10276609575846017,0.014675228386437715,0.10284516209277998,1.000769381513779,1.0,1.128216913864194e-05,1.0000881300874487,0.0008967493905933618,0.06358877412437117,8.812232122085027e-05,0.12282369966497672
frozenset({'支付方式_储蓄卡'}),frozenset({'类别_服装'}),0.14269245230221633,0.19943618865509333,0.02849352346521397,0.19968486773824548,1.0012469105272674,1.0,3.54846282112492e-05,1.0003107264540274,0.0014526381821942415,0.09084927635991549,0.00031062993308976234,0.17127762238069955
frozenset({'支付方式_储蓄卡'}),frozenset({'类别_电子产品'}),0.14269245230221633,0.19818988568476217,0.028283745376826257,0.19821472629065573,1.0001253374046195,1.0,3.544566971623586e-06,1.0000309816190296,0.00014618055965996454,0.09047943927277836,3.0980659198556165e-05,0.1704625316472512
frozenset({'支付方式_储蓄卡'}),frozenset({'类别_食品'}),0.14269245230221633,0.19820981605793075,0.028281199526239028,0.19819688476823352,0.9999347595898407,1.0,-1.845197438329893e-06,0.9999838722381448,-7.609836389641084e-05,0.090464790590504,-1.6128021964118406e-05,0.17044001387816748
frozenset({'支付方式_微信支付'}),frozenset({'类别_家居'}),0.14296762238140173,0.10276609575846017,0.0146994503363105,0.10281663842108289,1.00049182234909,1.0,7.225964303995622e-06,1.0000563348193772,0.0005735846061507985,0.06362454572673805,5.6331645944037896e-05,0.12292728773718403
frozenset({'支付方式_微信支付'}),frozenset({'类别_服装'}),0.14296762238140173,0.19943618865509333,0.028527492385906433,0.19953813255565125,1.0005111604932153,1.0,1.4574677079055853e-05,1.0001273563485085,0.0005961260682771464,0.09088768629806578,0.00012734013093430543,0.17128941716871166
frozenset({'支付方式_微信支付'}),frozenset({'类别_电子产品'}),0.14296762238140173,0.19818988568476217,0.02832004193234133,0.19808710154520556,0.9994813855449712,1.0,-1.4694804050925658e-05,0.9998718263046341,-0.0006050758468136745,0.09052637550844647,-0.00012819012596815478,0.1704902894255196
frozenset({'支付方式_微信支付'}),frozenset({'类别_食品'}),0.14296762238140173,0.19820981605793075,0.028357720521032328,0.19835064785074935,1.0007105187604706,1.0,2.013438657498534e-05,1.0001756775483457,0.0008284567777660726,0.09065195988840632,0.00017564669116574246,0.1707099257049965
frozenset({'支付方式_支付宝'}),frozenset({'类别_家居'}),0.14274627885748917,0.10276609575846017,0.014610563781522085,0.1023533776043896,0.9959839074256492,1.0,-5.891398071050484e-05,0.9995402220163552,-0.004681704537595356,0.06327609007795475,-0.00045998947667882874,0.1222631870956715
frozenset({'支付方式_支付宝'}),frozenset({'类别_服装'}),0.14274627885748917,0.19943618865509333,0.02848952284286261,0.19958154475820095,1.0007288351431494,1.0,2.074904282783896e-05,1.0001816001394719,0.0008495784986371341,0.0908197756020894,0.00018156716684885872,0.17121593106013763
frozenset({'支付方式_支付宝'}),frozenset({'类别_电子产品'}),0.14274627885748917,0.19818988568476217,0.028297492969997295,0.19823629166717624,1.000234149095216,1.0,6.624281306332608e-06,1.0000578798739976,0.0002730746761176592,0.09051181297467051,5.787652411156946e-05,0.1705079972183527
frozenset({'支付方式_支付宝'}),frozenset({'类别_食品'}),0.14274627885748917,0.19820981605793075,0.02835888433844363,0.19866636500385232,1.0023033619373731,1.0,6.517066314661382e-05,1.0005697364068884,0.0026807333661316066,0.09072020919860489,0.0005694119921460036,0.17087072010338172
frozenset({'支付方式_现金'}),frozenset({'类别_家居'}),0.14303126864608248,0.10276609575846017,0.014752331289936667,0.10314060295752486,1.003644268046778,1.0,5.3566239799312035e-05,1.0004175762670264,0.004237068923274471,0.06385045846287041,0.0004174019698701357,0.1233465579428122
frozenset({'支付方式_现金'}),frozenset({'类别_服装'}),0.14303126864608248,0.19943618865509333,0.028462536826637977,0.19899520640529217,0.9977888554089659,1.0,-6.307425063946381e-05,0.9994494636569876,-0.002579240982953424,0.09064360132836186,-0.0005508396002316549,0.17085510611767957
frozenset({'支付方式_现金'}),frozenset({'类别_电子产品'}),0.14303126864608248,0.19818988568476217,0.028367831184793038,0.19833307397270303,1.0007224802993662,1.0,2.048040247944194e-05,1.0001786131912045,0.0008424562904283779,0.09067454006729496,0.00017858129422966914,0.17073383994628782
frozenset({'支付方式_现金'}),frozenset({'类别_食品'}),0.14303126864608248,0.19820981605793075,0.02836695832173456,0.1983269713696377,1.0005910671531661,1.0,1.6756872862074e-05,1.0001461385222192,0.0006893110303183005,0.09066572122705661,0.00014611716887196312,0.17072139055024627
frozenset({'支付方式_银联'}),frozenset({'类别_家居'}),0.14306865628042065,0.10276609575846017,0.014654643365975259,0.1024308450709954,0.9967377306202938,1.0,-4.796386537267265e-05,0.9996264904095425,-0.0038048480459887297,0.06339058948497152,-0.00037364915199919116,0.12251638642741836
frozenset({'支付方式_银联'}),frozenset({'类别_服装'}),0.14306865628042065,0.19943618865509333,0.02851549051885235,0.19931333151658864,0.9993839777056853,1.0,-1.757700572032478e-05,0.9998465602796444,-0.0007187961425641338,0.09081674304477373,-0.00015346326771664855,0.17114692715756147
frozenset({'支付方式_银联'}),frozenset({'类别_电子产品'}),0.14306865628042065,0.19818988568476217,0.02837285014737929,0.1983163250779912,1.000637970968055,1.0,1.8089514090189468e-05,1.0001577173106855,0.000744008519777875,0.09068120048104049,0.00015769243985780902,0.1707381275037787
frozenset({'支付方式_银联'}),frozenset({'类别_食品'}),0.14306865628042065,0.19820981605793075,0.02834433662080232,0.1981170254737433,0.9995318567665673,1.0,-1.3275424195175606e-05,0.9998842841323047,-0.000546259219324238,0.09057604583727999,-0.0001157292594070495,0.170559352565405
